mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00421905517578125,0.0012139727620625433,0.03502211570739746,0.022311697972411716,euclidean,39,"{'metric': 'euclidean', 'n_neighbors': 39}",0.2610361936489909,0.2249579364869403,0.25225019289601724,0.2508183091127749,0.26061195302100937,0.24993491703314655,0.013169873811701597,38
0.0034273147583007814,0.0008251174864135288,0.02176179885864258,0.0060767438758777955,euclidean,41,"{'metric': 'euclidean', 'n_neighbors': 41}",0.25623281770132655,0.22861277703720473,0.23913728626411124,0.24691950222463188,0.2555572020414998,0.2452919170537548,0.010428821680291864,44
0.0025718212127685547,0.0009687024385431767,0.015129756927490235,0.002600915504307057,euclidean,43,"{'metric': 'euclidean', 'n_neighbors': 43}",0.2528580831401629,0.24077243351376587,0.2276620294482845,0.2563100269512004,0.25754829334539686,0.2470301732797621,0.011357775923789892,43
0.0025650501251220704,0.0013034960017157373,0.011162233352661134,0.0009034827859898543,euclidean,45,"{'metric': 'euclidean', 'n_neighbors': 45}",0.24824023497411074,0.23617028145557617,0.2378328600883347,0.25845851440228085,0.2547193638931068,0.24708425096268183,0.008873647286211076,42
0.0019701004028320314,0.0006375322684292496,0.014037179946899413,0.005728995532308823,euclidean,47,"{'metric': 'euclidean', 'n_neighbors': 47}",0.24877944703010058,0.23829769316674831,0.23018102622335868,0.24911575382675055,0.25171464583692693,0.243617713216777,0.008139771926234527,45
0.0022286891937255858,0.0003960768397700795,0.009885883331298828,0.0009363122349530269,euclidean,49,"{'metric': 'euclidean', 'n_neighbors': 49}",0.2397715968412848,0.23204902738191524,0.2130292307713344,0.2542531566668038,0.2414552152711711,0.23611164538650184,0.013567358953125126,46
0.002177715301513672,0.00040871378749283266,0.00861654281616211,0.0009757779250792388,manhattan,1,"{'metric': 'manhattan', 'n_neighbors': 1}",0.07258957802471888,-0.27514701524502194,-0.2784901818529111,-0.3791311374397852,-0.10215826408394402,-0.19246740411938867,0.15968101344822958,50
0.002393627166748047,0.0010172054016566192,0.008337640762329101,0.0017324035926382048,manhattan,3,"{'metric': 'manhattan', 'n_neighbors': 3}",0.28518811554250023,0.22105442902776207,0.14846553865270196,0.21494336918492063,0.26827683025947535,0.22758565653347204,0.04782529104707716,47
0.0018089771270751952,0.0004065258853473016,0.009364080429077149,0.0013248561919837604,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.3952932605907217,0.2918639742350505,0.19031245407755493,0.33684933413821583,0.325870118000237,0.308037828208356,0.0676497763189036,5
0.0025045394897460936,0.0005934848175510008,0.0073527336120605465,0.0010302181691290782,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.4061931131995902,0.2841482173743638,0.21824536642394055,0.2892855201754164,0.3515311658087481,0.30988067659641183,0.06402218161245811,3
0.003017902374267578,0.0013497554276484603,0.013069915771484374,0.010982355158974883,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.3846480607548841,0.28572638533399974,0.2392752593620271,0.29934059661909196,0.3387099985836537,0.3095400601307313,0.049194226200684296,4
0.0019575119018554687,0.0006386831124216013,0.00805039405822754,0.0016814421797692256,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.37573471806366676,0.3045083505038474,0.2899774134994315,0.28520906985577055,0.3611279487125385,0.32331150012705095,0.03766906561643584,1
