mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0018062114715576172,0.00040452132319373737,0.006577253341674805,0.0004892656203264295,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.37573471806366676,0.3045083505038474,0.2899774134994315,0.28520906985577055,0.3611279487125385,0.32331150012705095,0.03766906561643584,1
0.0016943931579589844,0.0005993475367845287,0.007192182540893555,0.0016039639449544217,manhattan,13,"{'metric': 'manhattan', 'n_neighbors': 13}",0.33123353286366075,0.3060850966896099,0.3376294483696559,0.27748299254570896,0.36293621906142215,0.32307345790601155,0.02910188432804089,2
0.0016179084777832031,0.0007721880828776582,0.007659006118774414,0.0017316048710390088,manhattan,15,"{'metric': 'manhattan', 'n_neighbors': 15}",0.2975803310674313,0.3020477825706862,0.29469008553721443,0.28232165900433037,0.3251968440206632,0.3003673404400651,0.014035479306161303,6
0.0021776199340820313,0.0003714080799035675,0.007738447189331055,0.0007913379874433695,manhattan,17,"{'metric': 'manhattan', 'n_neighbors': 17}",0.30200563047582285,0.3048112210296736,0.2816227604241892,0.29542888441366466,0.3174387815901393,0.3002614555866979,0.011743574768883705,7
0.002293109893798828,0.0005861019834045192,0.0072307586669921875,0.0004400883297988532,manhattan,19,"{'metric': 'manhattan', 'n_neighbors': 19}",0.29644319698444677,0.31179521364412754,0.28871574768140984,0.255967964705643,0.32533744352857874,0.2956519133088412,0.023517606810004817,8
0.002292299270629883,0.00048327921407249614,0.007021427154541016,0.0010903948953314528,manhattan,21,"{'metric': 'manhattan', 'n_neighbors': 21}",0.2928408919639647,0.27090146850013275,0.27765414668755306,0.2439655216367832,0.3135448231332505,0.27978137038433687,0.023137305828699155,12
0.0015961647033691407,0.0004889697895721663,0.00738072395324707,0.0007976298890933742,manhattan,23,"{'metric': 'manhattan', 'n_neighbors': 23}",0.2944593403959739,0.2808340380142782,0.2940896237381291,0.2580662761445782,0.3099773575811293,0.28748532717481773,0.017365858667629533,9
0.002051258087158203,0.000684903979479051,0.007734966278076172,0.0009905504764628292,manhattan,25,"{'metric': 'manhattan', 'n_neighbors': 25}",0.3102159198836054,0.27496553141317925,0.2811821014434529,0.2495906458095264,0.29051459945495484,0.2812937596009438,0.019832607527208317,10
0.0014119625091552734,0.00048825008229530053,0.00660090446472168,0.0010710017166440536,manhattan,27,"{'metric': 'manhattan', 'n_neighbors': 27}",0.32503858260480123,0.25861684180377253,0.2779151679924786,0.2626305184454161,0.27568552664055246,0.27997732749740417,0.02370810368471727,11
0.0016983985900878907,0.0007203395196878133,0.008092069625854492,0.0012022910927742211,manhattan,29,"{'metric': 'manhattan', 'n_neighbors': 29}",0.3297140419025011,0.2610995690613037,0.2742436763851437,0.24512376598454844,0.2723113322848443,0.27649847712366826,0.028551747797913387,13
